experiment,rep,mode,threads,nx,ny,steps,cells_per_thread,nu,dt,init,u0,schedule,chunk,collapse,elapsed,strong_speedup,strong_efficiency,weak_efficiency,stable,initial_min,initial_max,final_min,final_max,initial_l2,final_l2,initial_sum,final_sum
weak,1,omp-basic,8,2896,2896,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,3.673189715,,,0.23125379109366256,yes,0.0,1.0,0.0,0.999627531753,410.642108176748,410.565625317331,337253.8817396055,337253.88174038625
weak,2,omp-basic,8,2896,2896,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,3.652624886,,,0.23255578481540246,yes,0.0,1.0,0.0,0.999627531753,410.642108176748,410.565625317331,337253.8817396055,337253.88174038625
weak,3,omp-basic,8,2896,2896,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,3.673143875,,,0.23125667708837022,yes,0.0,1.0,0.0,0.999627531753,410.642108176748,410.565625317331,337253.8817396055,337253.88174038625
weak,1,omp-basic,16,4096,4096,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,7.11760623,,,0.11934336061184435,yes,0.0,1.0,0.0,0.999813770572,580.797677861738,580.743594475984,674651.8846680869,674651.884667513
weak,2,omp-basic,16,4096,4096,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,7.125170719,,,0.11921665887034587,yes,0.0,1.0,0.0,0.999813770572,580.797677861738,580.743594475984,674651.8846680869,674651.884667513
weak,3,omp-basic,16,4096,4096,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,7.114997365,,,0.1193871203914353,yes,0.0,1.0,0.0,0.999813770572,580.797677861738,580.743594475984,674651.8846680869,674651.884667513
weak,1,omp-basic,32,5793,5793,1000,1048714.03125,0.1,0.1,perturb,1.0,static,0,1,14.409064937,,,0.058951712044741124,yes,0.0,1.0,0.0,0.999906888771,821.426012655405,821.38776975185,1349481.3874301317,1349481.3874318423
weak,2,omp-basic,32,5793,5793,1000,1048714.03125,0.1,0.1,perturb,1.0,static,0,1,14.398931149,,,0.05899320152378069,yes,0.0,1.0,0.0,0.999906888771,821.426012655405,821.38776975185,1349481.3874301317,1349481.3874318423
weak,3,omp-basic,32,5793,5793,1000,1048714.03125,0.1,0.1,perturb,1.0,static,0,1,14.413807005,,,0.05893231723619848,yes,0.0,1.0,0.0,0.999906888771,821.426012655405,821.38776975185,1349481.3874301317,1349481.3874318423
weak,1,omp-region,1,1024,1024,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,0.861041531,,,1.0,yes,0.0,1.0,0.0,0.997028724385,145.199419466128,144.983541564106,42165.742792208606,42165.74279309574
weak,2,omp-region,1,1024,1024,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,0.863040298,,,0.997684039778175,yes,0.0,1.0,0.0,0.997028724385,145.199419466128,144.983541564106,42165.742792208606,42165.74279309574
weak,3,omp-region,1,1024,1024,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,0.861208096,,,0.9998065914605615,yes,0.0,1.0,0.0,0.997028724385,145.199419466128,144.983541564106,42165.742792208606,42165.74279309574
weak,1,omp-region,2,1448,1448,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,2.815495387,,,0.3058223909638393,yes,0.0,1.0,0.0,0.998511809011,205.321054088767,205.168217427823,84313.4704352735,84313.47043608045
weak,2,omp-region,2,1448,1448,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,2.720672429,,,0.3164811470216138,yes,0.0,1.0,0.0,0.998511809011,205.321054088767,205.168217427823,84313.4704352735,84313.47043608045
weak,3,omp-region,2,1448,1448,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,2.720508281,,,0.3165002426250656,yes,0.0,1.0,0.0,0.998511809011,205.321054088767,205.168217427823,84313.4704352735,84313.47043608045
weak,1,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.082271855,,,0.41351062251187176,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
weak,2,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.073233489,,,0.41531334293433264,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
weak,3,omp-region,4,2048,2048,1000,1048576.0,0.1,0.1,perturb,1.0,static,0,1,2.08041798,,,0.4138791047172165,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
weak,1,omp-region,8,2896,2896,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,3.642433971,,,0.23639180225513004,yes,0.0,1.0,0.0,0.999627531753,410.642108176748,410.565625317331,337253.8817396055,337253.88174038625
weak,2,omp-region,8,2896,2896,1000,1048352.0,0.1,0.1,perturb,1.0,static,0,1,3.636626657,,,0.23676929534204866,yes,0.0,1.0,0.0,0.999627531753,410.642108176748,410.565625317331,337253.8817396055,337253.88174038625
