rep,affinity,affinity_description,mode,threads,nx,ny,steps,cells_per_thread,nu,dt,init,u0,schedule,chunk,collapse,omp_proc_bind,omp_places,gomp_cpu_affinity,allowed_cpus,elapsed,speedup,efficiency,relative_to_best_1t,stable,initial_min,initial_max,final_min,final_max,initial_l2,final_l2,initial_sum,final_sum
3,spread_cores,Threads espalhadas entre nucleos,omp-region,16,2048,2048,1000,262144.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.736785048,4.041334955688771,0.2525834347305482,4.041334955688771,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,spread_cores,Threads espalhadas entre nucleos,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.74175872,4.029794738159829,0.12593108556749466,4.029794738159829,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,spread_cores,Threads espalhadas entre nucleos,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.741433776,4.030546680403884,0.12595458376262136,4.030546680403884,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,spread_cores,Threads espalhadas entre nucleos,omp-region,32,2048,2048,1000,131072.0,0.1,0.1,perturb,1.0,static,0,1,spread,cores,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,1.741662784,4.030016711317637,0.12593802222867614,4.030016711317637,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,close_threads,Threads proximas em hardware threads,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,close,threads,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.061369931,1.0,1.0,0.9939898622484448,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,close_threads,Threads proximas em hardware threads,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,close,threads,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.117117526,0.9921671105196246,0.9921671105196246,0.9862040495128391,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,close_threads,Threads proximas em hardware threads,omp-region,1,2048,2048,1000,4194304.0,0.1,0.1,perturb,1.0,static,0,1,close,threads,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,7.146916034,0.9880303472724414,0.9880303472724414,0.9820921487826171,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
1,close_threads,Threads proximas em hardware threads,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,close,threads,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,6.064094473,1.164455791782319,0.5822278958911595,1.157457252068111,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
2,close_threads,Threads proximas em hardware threads,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,close,threads,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,6.064670358,1.1643452181510967,0.5821726090755484,1.157347342999644,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
3,close_threads,Threads proximas em hardware threads,omp-region,2,2048,2048,1000,2097152.0,0.1,0.1,perturb,1.0,static,0,1,close,threads,,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47,6.056218409,1.1659701573024956,0.5829850786512478,1.1589625160429051,yes,0.0,1.0,0.0,0.999255503008,290.398838932026,290.290717810746,168662.97116801885,168662.97116874598
