case,rep,mode,threads,schedule,chunk,collapse,nx,ny,steps,nu,dt,init,u0,stable,elapsed,speedup,efficiency,initial_min,initial_max,initial_l2,initial_sum,final_min,final_max,final_l2,final_sum
omp,1,omp,8,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.356028683,2.429533819329944,0.303691727416243,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,8,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.278316391,3.107915142518501,0.38848939281481265,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,8,static,0,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.280625096,3.0823462987786376,0.3852932873473297,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,8,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.300988582,2.8738091001737733,0.35922613752172167,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,8,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.341093307,2.5359152708323296,0.3169894088540412,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,8,static,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.300706722,2.8765027939747885,0.35956284924684856,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,8,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.388557658,2.226139951667096,0.278267493958387,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,8,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.334984453,2.5821608085196717,0.32277010106495896,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,8,dynamic,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.346838683,2.4939078839715236,0.31173848549644045,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,8,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.33340474,2.5943954066159947,0.32429942582699933,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,8,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.323484332,2.6739586447729407,0.3342448305966176,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,8,guided,64,1,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.391958407,2.20682529205197,0.27585316150649625,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,8,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.482228727,1.7937208581105537,0.2242151072638192,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,8,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.471119018,1.836019546975707,0.22950244337196338,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,8,static,0,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.486606409,1.777583915874811,0.22219798948435138,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,8,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.817818212,1.057672369370028,0.1322090461712535,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,8,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.791396995,1.0929833338576171,0.13662291673220214,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,8,static,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,0.866827149,0.9978733672542136,0.1247341709067767,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,1,omp,8,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.080013331,0.8009009714714346,0.10011262143392932,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,2,omp,8,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.481006416,0.5840513023138719,0.07300641278923399,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
omp,3,omp,8,dynamic,64,2,1024,1024,1000,0.1,0.1,perturb,1.0,yes,1.450230796,0.5964455646547999,0.07455569558184999,0.0,1.0,145.199419466128,42165.742792208606,0.0,0.997028724385,144.983541564106,42165.74279309574
